Make,Model,Variant,Ex-Showroom_Price,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range,Displacement_num,Power_num,Torque_num,Engine_Efficiency,Seating_Category,Price_Segment
Tata,Nano Genx,Xt,292667,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,?23.6 km/litre,22 km/litre,23.6 km/litre,14.16 km/kg,660 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,Yes,Remote,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,1,Yes,CD Player with USB & Aux-in,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,110 litres,1,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,624.0,38.0,51.0,0.060897435897435896,Small_Family,Budget
Tata,Nano Genx,Xe,236447,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,?23.6 km/litre,22 km/litre,23.6 km/litre,14.16 km/kg,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,1,Yes,Not on offer,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,110 litres,1,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Fully automatic climate control,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,624.0,38.0,51.0,0.060897435897435896,Small_Family,Budget
Tata,Nano Genx,Emax Xm,296661,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4.0,12 km/litre,22 km/litre,23 km/litre,36 km/kg,710 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,1,Yes,Not on offer,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,110 litres,1,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,624.0,38.0,51.0,0.060897435897435896,Small_Family,Budget
Tata,Nano Genx,Xta,334768,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,?23.6 km/litre,22 km/litre,21.9 km/litre,14.16 km/kg,725 kg,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,Yes,Remote,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 mm,4 B X 12,1,Yes,CD Player with USB & Aux-in,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,94 litres,1,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,624.0,38.0,51.0,0.060897435897435896,Small_Family,Budget
Tata,Nano Genx,Xm,272223,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,?23.6 km/litre,22 km/litre,23.6 km/litre,14.16 km/kg,725 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,1,Yes,Not on offer,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,110 litres,1,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,624.0,38.0,51.0,0.060897435897435896,Small_Family,Budget
Tata,Nano Genx,Xma,314815,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,?23.6 km/litre,22 km/litre,21.9 km/litre,14.16 km/kg,710 kg,5,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 mm,4 B X 12,1,Yes,Not on offer,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,94 litres,1,1,1,Digital,Not on offer,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,624.0,38.0,51.0,0.060897435897435896,Small_Family,Budget
Datsun,Redi-Go,D,279650,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,21.38 km/litre,24 km/litre,25.17 km/litre,14.16 km/kg,1785 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,1,Yes,Not on offer,1,1,2 years / Unlimited Kms,1,Internal,222 litres,1,1,1,Digital,Not on offer,1,Front & Rear,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Yes,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,799.0,54.0,72.0,0.06758448060075094,Small_Family,Budget
Datsun,Redi-Go,T,351832,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,21.38 km/litre,24 km/litre,25.17 km/litre,14.16 km/kg,1785 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,Only Front Windows,Yes,Smart Key,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,1,Yes,CD Player with USB & Aux-in,1,1,2 years / Unlimited Kms,1,Internal,222 litres,1,1,1,Digital,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,799.0,54.0,72.0,0.06758448060075094,Small_Family,Budget
Datsun,Redi-Go,A,333419,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,21.38 km/litre,24 km/litre,25.17 km/litre,14.16 km/kg,1785 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,1,Yes,Not on offer,1,1,2 years / Unlimited Kms,1,Internal,222 litres,1,1,1,Digital,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors with camera,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,799.0,54.0,72.0,0.06758448060075094,Small_Family,Budget
Datsun,Redi-Go,S,362000,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,21.38 km/litre,24 km/litre,25.17 km/litre,14.16 km/kg,1785 kg,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1490 mm,1540 mm,80/155R13,80/155R13,Electric Power,All Windows,Yes,Smart Key,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,1,Yes,CD Player with USB & Aux-in,1,1,2 years / Unlimited Kms,1,"With Remote, Internal",222 litres,1,1,1,Digital,Not on offer,1,Front & Rear,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,1,1,1,1,1,1,Normal,1,1,1,1,1,1,1,1,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,1,3.7870289219982474,16.5:1,"Rake, Reach",2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,Air Conditioner : Standard,Rear sensors,1,1,1,1,1,Touch Sensitive,Multifunction Steering Wheel,1,1,Manual Adjustment,1,1,1,Cup Holders,1,1,1,2.4 PSI,Only front,1,1,1,1,1,1,"Revotron 1.2 L, BS6 Engine",1,1,1.793103448275862,1,1,200 ampere-hour,110 km/full charge,799.0,54.0,72.0,0.06758448060075094,Small_Family,Budget
